0,Address,Census Tract,PM2.5,Poverty,Traffic,Noise Pollution,Minimum Price,Minimum Beds,Minimum Baths,Sqft,Units,Latitude,Longitude,Distance to School,Distance to Hospital,Distance to Grocery Store,City,Home Type,SoundScore
7791,"400 Canal St, San Rafael, CA",6041112202,8.498563866,52,1527.394229,34,2150,0,1,497,4,37.965504,-122.50813,0.393949214,0.711469795,0.109361296,San Rafael,MULTIUNIT,66
7792,"1001 Cresta Way, San Rafael, CA",6041106001,8.414100549,10.1,2523.246113,26,2448,1,1,650,11,38.02252,-122.53388,0.329948001,1.038932312,2.068544059,San Rafael,MULTIUNIT,74
7793,"101 Nova Albion Way, San Rafael, CA",6041108200,8.467143828,27.7,1017.307278,27,1950,0,1,560,3,38.007492,-122.54887,0.320006065,0.233014125,0.253519368,San Rafael,MULTIUNIT,73
7794,"135 Nova Albion Way UNIT 6, San Rafael, CA 94903",6041108200,8.467143828,27.7,1017.307278,25,2350,1,1,900,1,38.00601,-122.54995,0.096312505,0.411347602,0.356045583,San Rafael,APARTMENT,75
7795,"300 Merrydale Rd APT 23, San Rafael, CA 94903",6041108200,8.467143828,27.7,1017.307278,35,2195,1,1,700,1,37.998783,-122.53704,0.275888724,1.824966627,0.208780656,San Rafael,APARTMENT,65
7796,"108 Professional Center Pkwy, San Rafael, CA",6041106001,8.414100549,10.1,2523.246113,28,1999,1,1,620,3,38.009148,-122.53731,0.200081462,0.266568159,0.270917756,San Rafael,MULTIUNIT,72
7797,"280 Merrydale Rd APT 8, San Rafael, CA 94903",6041108200,8.467143828,27.7,1017.307278,35,2075,1,1,585,1,37.99817,-122.53658,0.203809688,1.753508962,0.137322991,San Rafael,APARTMENT,65
7798,"95 Professional Center Pkwy, San Rafael, CA",6041106001,8.414100549,10.1,2523.246113,27,2675,1,1,790,2,38.009914,-122.537766,0.167148799,0.233635496,0.238606464,San Rafael,MULTIUNIT,73
7799,"1330 4th St, San Rafael, CA 94901",6041111000,8.40486263,17.7,821.9759079,35,1795,1,1,340,1,37.973667,-122.53142,0.055302019,0.232392754,0.060272987,San Rafael,APARTMENT,65
7800,"2500 Deer Valley Rd, San Rafael, CA",6041106001,8.414100549,10.1,2523.246113,23,2572,1,1,706,7,38.02192,-122.53013,0.513873817,1.222858128,2.252469875,San Rafael,MULTIUNIT,77
7801,"155 Andersen Dr, San Rafael, CA",6041111000,8.40486263,17.7,821.9759079,33,2199,0,1,488,5,37.96977,-122.52776,0.874890368,1.00040731,0.943862549,San Rafael,MULTIUNIT,67
7802,"1515 Lincoln Ave, San Rafael, CA",6041109001,8.351873776,16.5,1801.020682,35,2895,2,2,850,2,37.98124,-122.52357,0.527543979,0.797840364,0.622613742,San Rafael,MULTIUNIT,65
7803,"72 Surrey Ln, San Rafael, CA",6041108100,8.337092355,7.6,604.3624471,24,4500,2,2,984,2,38.01037,-122.562454,0.54059277,0.976173841,0.742538345,San Rafael,MULTIUNIT,76
7804,"163 Merrydale Rd, San Rafael, CA",6041108200,8.467143828,27.7,1017.307278,34,3195,2,2,1000,2,37.995533,-122.53566,0.076428633,1.626127907,1.794519448,San Rafael,MULTIUNIT,66
7805,"1829 2nd St APT 6, San Rafael, CA 94901",6041111000,8.40486263,17.7,821.9759079,30,2295,1,1,650,1,37.97325,-122.53959,0.297015338,0.278374208,0.818966978,San Rafael,APARTMENT,70
7806,"27A Graceland Dr 9, San Rafael, CA 94901",6041109001,8.351873776,16.5,1801.020682,30,2500,1,1,560,1,37.98039,-122.526665,0.720168989,1.101069412,0.915279483,San Rafael,APARTMENT,70
7807,"60 Bret Harte Rd A, San Rafael, CA 94901",6041112100,8.397059009,26.5,1427.373671,28,2800,1,1,600,1,37.953922,-122.514915,1.045146022,2.185361807,1.301150874,San Rafael,APARTMENT,72
7808,"223 Santa Margarita Dr, San Rafael, CA 94901",6041109002,8.435396586,10.2,580.63891,22,2100,1,1,500,1,37.979343,-122.55006,0.526301237,0.810267784,0.414454457,San Rafael,APARTMENT,78
7809,"8 3rd St 6, San Rafael, CA 94901",6041110100,8.381069238,26.4,2143.575568,33,2450,1,1,600,1,37.96866,-122.51125,0.190760897,0.764907701,0.379657681,San Rafael,APARTMENT,67
7810,"92 Dockside Cir, San Rafael, CA 94903",6041106001,8.414100549,10.1,2523.246113,21,3000,2,1,960,1,38.018272,-122.530815,1.104176267,1.08739925,1.503096449,San Rafael,APARTMENT,79
7811,"747 Tamarack Dr, San Rafael, CA 94903",6041108200,8.467143828,27.7,1017.307278,18,5400,3,2,1797,1,38.0045,-122.559525,0.467270992,0.628827452,0.935163355,San Rafael,SINGLE_FAMILY,82
7812,"233 Glen Park Ave B, San Rafael, CA 94901",6041110100,8.381069238,26.4,2143.575568,31,3765,2,2,1000,1,37.987377,-122.52437,0.938891581,1.355210151,1.193653691,San Rafael,APARTMENT,69
7813,"44 Dockside Cir, San Rafael, CA 94903",6041106001,8.414100549,10.1,2523.246113,23,3500,2,1,987,1,38.01873,-122.52992,1.051359732,1.034582715,1.450279914,San Rafael,APARTMENT,77
7814,"1704 Lincoln Ave, San Rafael, CA 94901",6041109001,8.351873776,16.5,1801.020682,35,2400,1,1,800,1,37.98494,-122.5249,0.002485484,1.533543628,1.071864975,San Rafael,APARTMENT,65
7815,"25 Bonsai Ct, San Rafael, CA 94903",6041108200,8.467143828,27.7,1017.307278,30,6300,4,3,1996,1,37.992992,-122.53638,0.13670162,1.62799202,0.475970186,San Rafael,SINGLE_FAMILY,70
7816,"152 C St, San Rafael, CA 94901",6041112100,8.397059009,26.5,1427.373671,23,5000,3,3,1460,1,37.963413,-122.53146,0.479698412,0.784791573,0.589681079,San Rafael,SINGLE_FAMILY,77
7817,"1135 4th St, San Rafael, CA 94901",6041111000,8.40486263,17.7,821.9759079,37,2195,0,1,576,1,37.973106,-122.52901,0.079535488,0.367230261,0.222450818,San Rafael,APARTMENT,63
7818,"361 Du Bois St 4, San Rafael, CA 94901",6041112100,8.397059009,26.5,1427.373671,35,2150,1,1,500,1,37.96262,-122.51766,0.325598404,1.035204086,0.199460091,San Rafael,APARTMENT,65
7819,"104 Union St, San Rafael, CA 94901",6041110100,8.381069238,26.4,2143.575568,32,4000,3,2,1050,1,37.972485,-122.5151,0.104390328,0.55302019,0.147886298,San Rafael,SINGLE_FAMILY,68
7820,"823 D St 1405, San Rafael, CA 94901",6041111000,8.40486263,17.7,821.9759079,36,1895,0,1,400,1,37.972424,-122.53241,0.285209289,0.398920182,0.169634283,San Rafael,APARTMENT,64
7821,"301 North Ave UNIT 207, San Rafael, CA 94903",6041106001,8.414100549,10.1,2523.246113,18,3600,2,2,954,1,38.024075,-122.528336,1.05011699,1.759101301,2.788713048,San Rafael,APARTMENT,82
7822,"1009 B St 27, San Rafael, CA 94901",6041111000,8.40486263,17.7,821.9759079,36,1925,0,1,400,1,37.973583,-122.52976,0.070836294,0.356666954,0.269675014,San Rafael,APARTMENT,64
7823,"218 Solano St, San Rafael, CA 94901",6041109002,8.435396586,10.2,580.63891,20,4200,3,1,983,1,37.98377,-122.547424,0.474727444,0.896016982,0.159070976,San Rafael,SINGLE_FAMILY,80
7824,"153 Park St, San Rafael, CA 94901",6041110100,8.381069238,26.4,2143.575568,29,2500,1,1,550,1,37.974895,-122.51309,0.226179044,0.800325848,0.379657681,San Rafael,APARTMENT,71
